"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.061379343156774,0.0192967289796244,3.18081594147822,0.00149589718863231
"2","location_binaryTRUE",0.0166714888433823,0.00880485776578001,1.89344215282794,0.0584737976927678
"3","degree_of_diff",-0.0755222366908721,0.0318020656311922,-2.37475884638129,0.0176741180354908
"4","Number_Backers",0.709950141327196,0.0234230901728665,30.3098411049797,8.12908683783054e-161
"5","Creator_nb_projects",-0.0449906698326372,0.0524705274977834,-0.857446493834807,0.391322620547071
"6","Goal_USD",0.410209245934623,0.0206054635859486,19.9077901947499,3.27230086937371e-79
