"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.271044898364233,0.0212227641664034,12.771422998391,2.22209016214917e-35
"2","location_binaryTRUE",-0.0213417030798378,0.0110899030287216,-1.92442648277133,0.0545073067231164
"3","degree_of_diff",0.103738859486195,0.0378873788915927,2.73808488528656,0.00625953856921421
"4","Number_Backers",0.375496610555887,0.0426353689400302,8.80716221980043,3.78607684329826e-18
"5","Creator_nb_projects",0.254810008914355,0.0397597693037467,6.40873962239874,2.01115156807405e-10
