"","Pledge_USD","degree_of_diff","Number_Backers","Creator_nb_projects","Goal_USD","pledged_percentage"
"Min.",15,0.62404143,10,1,1,0.0001714285714285
"1st Qu.",3319.57913056,1.16741093,34,1,4500,1.00300150075038
"Median",13114,1.28030387,107,1,12955.985875,1.27725333333333
"Mean",67816.9495610863,1.2873215994481,472.843866171004,2.00428939090649,32924.8033237649,4.22732283013073
"3rd Qu.",50673,1.40022417,388,2,35719.1845,2.9122
"Max.",3203762,1.94003008,35550,31,3e+06,1321.57894736842
