"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.317138465895861,0.007498529040912,42.2934237055764,1.72663291422505e-265
"2","poly(degree_of_diff, 2)1",0.148822759580637,0.230730485140336,0.645006920044047,0.519012262565568
"3","poly(degree_of_diff, 2)2",0.11933598055531,0.229604524681178,0.519745770345842,0.603310413320468
"4","Number_Backers",0.568206433803838,0.0302018561298585,18.813626267231,1.06604855832668e-71
"5","Creator_nb_projects",0.518562548998337,0.0677049894373083,7.65914821504406,3.1674612513315e-14
