"","Pledge_USD","degree_of_diff","Number_Backers","Creator_nb_projects","Goal_USD","pledged_percentage"
"Min.",32.99696934,0.49456795,10,1,0.79328941,0.0009538461538461
"1st Qu.",1953.50211475,1.188227085,36,1,1500,1.0456012345679
"Median",8060,1.30696139,93,1,5000,1.52343
"Mean",52143.0369765204,1.31974327356673,455.786796227494,3.0723063732495,12217.4527738626,6.26776934734057
"3rd Qu.",30166.05576845,1.44043536,305,3,14863.0766,4.33905
"Max.",12143435.67,1.91710209,32102,88,5e+05,926.56701
