"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.320570566603594,0.0238517051591314,13.4401529980706,3.97003306752512e-39
"2","location_binaryTRUE",-0.0347453101334123,0.010391455580018,-3.34364227088889,0.00084565172412513
"3","degree_of_diff",0.00681017354743965,0.0380206587891178,0.179117715587528,0.857867587695953
"4","Number_Backers",0.409602339754587,0.0320673097430533,12.7732055802816,1.12710533935417e-35
"5","Creator_nb_projects",0.300083590009592,0.0418121087417847,7.17695421349809,1.0794344551089e-12
