"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.0349513302659624,0.0076087354126362,4.59357940189601,4.69291016422269e-06
"2","poly(degree_of_diff, 2)1",-0.157071805358973,0.178297463611043,-0.880953672462927,0.378473169367536
"3","poly(degree_of_diff, 2)2",0.124818284386088,0.176961536723877,0.705341322735285,0.480698941190666
"4","Number_Backers",0.782136833960043,0.0285078865400051,27.4358056274172,1.7096524564087e-136
"5","Creator_nb_projects",-0.0262992539442461,0.0359745434677069,-0.731051777428504,0.464852922441297
"6","Goal_USD",0.502701817060585,0.0203173611307128,24.7424758474502,5.77975704816886e-115
