"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.306793822392975,0.00730446718788433,42.0008488643558,1.04503921297742e-261
"2","poly(degree_of_diff, 2)1",0.0733634222786175,0.210566387675684,0.348409938967146,0.727577442877902
"3","poly(degree_of_diff, 2)2",0.166890646405538,0.209000575210991,0.798517641576142,0.42468677196975
"4","Number_Backers",0.403708156850934,0.0321218337791464,12.5680295722414,1.21858083807987e-34
"5","Creator_nb_projects",0.292413774143497,0.0419343387528802,6.97313425798118,4.4919963282652e-12
