"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.290822341110175,0.0238266176540634,12.2057752943619,7.19378038854263e-33
"2","location_binaryTRUE",0.0246662437135146,0.0114416245831515,2.15583403687595,0.0312406299602565
"3","degree_of_diff",0.0227663787797749,0.0412788320007024,0.55152671905512,0.581347245523064
"4","Number_Backers",0.565262156881269,0.0301660386229743,18.7383621676718,3.42761828810567e-71
"5","Creator_nb_projects",0.518401782187574,0.0673851177675315,7.6931197772182,2.45225115188569e-14
