"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.03135719665782,0.00739263634290945,4.24167985591444,2.34157489199325e-05
"2","poly(degree_of_diff, 2)1",-0.413383725811729,0.177622610515466,-2.32731477491563,0.0200688927284679
"3","poly(degree_of_diff, 2)2",-0.269955576374183,0.176386118371467,-1.53048085000465,0.126089320383182
"4","Number_Backers",0.710888481769315,0.0234185285004153,30.3558134216976,3.3168981921108e-161
"5","Creator_nb_projects",-0.0373201840474294,0.0526499697317662,-0.708835812015907,0.478526445683969
"6","Goal_USD",0.407165783772428,0.0205971078800141,19.7681046360645,3.08403671062437e-78
