"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.311624605318936,0.00796161865890932,39.1408605045681,8.61887311764195e-226
"2","poly(degree_of_diff, 2)1",0.58916801880203,0.20766354966538,2.83712774702826,0.0046189335187992
"3","poly(degree_of_diff, 2)2",0.446457855619029,0.204519066900477,2.18296446578393,0.0292070766409669
"4","Number_Backers",0.372634509222474,0.0425670545967439,8.75405904290539,5.92055824691009e-18
"5","Creator_nb_projects",0.248260315451059,0.0398671049499578,6.22719697762557,6.29631267283566e-10
