"","launch_date","degree_of_diff","Number_Backers","Creator_nb_projects","pledged_percentage","Goal_USD","Pledge_USD","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","location_binary","meta"
"0",2014-04-23,1.4204639,340,2,8.387,3000,25161,0.0019285182126,0.004793017285113,0.0046796715467752,0.0187021964705448,0.0019303319358589,0.0021593819202938,0.0197565992078797,0.0035807921883375,0.107222657028067,0.0031089448411229,0.0008032794641861,0.0045652460188709,0.0033550666851312,0.0084392729729014,0.0013191215550365,0.0012576616166045,0.0013438856330116,0.0009268553831667,0.469207156353016,0.0035714005998271,0.0026291589833375,0.0015356201484207,0.0019061569495266,0.0020160954261316,0.0025904959105833,0.0008389884544541,0.200865142596062,0.0040724220947966,0.0015372123767739,0.0009491427746511,0.0044265752793,0.0031924250088529,0.0033434167552731,0.0010169988304251,0.0013748588420261,0.0017467030443665,0.0012399599847773,0.0035362989889141,0.0083485713918711,0.001234428064267,0.0040193117467489,0.0063381012690701,0.0075047980774769,0.0175963758934566,0.034774002050295,0.006412880293469,0.0048425555950971,0.0024941472170022,0.0016733667863522,0.0032927322478747,TRUE,"design"
"1",2019-04-30,1.01354524,545,1,3.551026,5000,17755.13,0.0577077739179908,0.0020202950599408,0.0020871965896438,0.0104788153439674,0.0032001287913499,0.0022759328403823,0.0891502029014552,0.009841209632293,0.0097633966054377,0.0136909469496154,0.003165890848921,0.0027084037984512,0.0023328358641725,0.0020475851165336,0.0121538442087538,0.0164710446890901,0.0173791303537072,0.0030141519466806,0.002448154013263,0.0042516871754541,0.0030900591075242,0.0044152564700218,0.119760059467437,0.0031905923353192,0.0387259220147395,0.0027302066004316,0.0142902995827807,0.0139203826913039,0.0044706036356961,0.0068482581115832,0.0117971637648596,0.0026619117051319,0.0034403994649047,0.0026593631823186,0.0061602564314443,0.0066966123595052,0.0069243423560855,0.0171514337142873,0.0043684795067467,0.0174274597118081,0.0154640634321453,0.0439840642290134,0.0055911952684608,0.0070284970003328,0.143964486784185,0.0061450954771967,0.198488586914105,0.0082983865874354,0.0073665450688678,0.0067513903772234,TRUE,"design"
"2",2018-10-24,1.4035988,612,3,5.14685,20000,102937,0.0053855340378732,0.0041355056526657,0.0021084124011539,0.0037779906852262,0.0045201040989144,0.0014657814692982,0.0079305308163105,0.0138957588828233,0.0074717829502001,0.0022636319034966,0.0018114197718982,0.0007162723283809,0.0008975393114895,0.000912215057827,0.008738782298634,0.0028588573319366,0.0012661032822889,0.0011264483714474,0.0009569427837588,0.0023352862727308,0.0546807513886574,0.0012833421178509,0.0014487707866205,0.0013732954918576,0.0021417354517362,0.0019277566230769,0.59465160817906,0.0036639574358751,0.0033711119725568,0.001647994385988,0.0025651815277496,0.0012996638899533,0.0078611972948737,0.0058689996339306,0.0028032208988692,0.0567542253214335,0.0016897044357731,0.0098938602635327,0.0315497432357925,0.0072623015436853,0.0140188226765912,0.0021945208593018,0.0031755213964937,0.0798030224318043,0.0014569266681175,0.0015817536083382,0.020853352552479,0.0023245657586513,0.0030751123734999,0.0032030800874939,FALSE,"design"
"3",2018-11-13,1.19818154,11,5,1.182,127.66175,150.8961885,0.0022677066139254,0.0026216860811809,0.0034482531739464,0.307522666127828,0.0043930850651697,0.0047267182687656,0.0129286536483579,0.0057199615707775,0.0473433884628695,0.0046459341115485,0.0026454944083374,0.001483079562268,0.0021889796765323,0.0909017358981737,0.0040355472853858,0.0039289467154044,0.0177003767297097,0.0047805807702781,0.0020712476023924,0.0642444112059904,0.0070207324655317,0.0044729478781411,0.0038408415320113,0.004854775970239,0.0079411431313531,0.002946194840679,0.0033310984697663,0.0033288177069148,0.0079270705995923,0.0021702274864162,0.0117190029025993,0.0042197184746164,0.0036320722025164,0.0169848622209901,0.0084797637985496,0.0054634324030276,0.0053937682794343,0.0190215309814899,0.0083946101537983,0.0050326936216422,0.199503895011684,0.0068891111491696,0.0066113082010817,0.0162855502462108,0.0034137848289589,0.0066264172897841,0.0142640038188638,0.0092818016517941,0.0051546938777768,0.0061956758265228,FALSE,"design"
"4",2019-04-22,1.64217484,63,1,0.122514285714286,35000,4288,0.000425989387191,0.0010797562620665,0.0008630377655228,0.0620925259005669,0.0011613613235662,0.000908715278725,0.0089215897337119,0.0011106493862725,0.0007847812404068,0.0010914532049204,0.0007184686514519,0.0005852792356811,0.0006837844025354,0.000693263411958,0.0007388409348325,0.0009614887737935,0.0015191517151199,0.0008049083950684,0.0006003764081808,0.0018083036152012,0.0011707419524228,0.0016513267481349,0.0011855220546618,0.08294619224086,0.424191871917134,0.0008372868362961,0.0007539246901741,0.0007861561742339,0.0017786239862642,0.0010270575421352,0.0028902340685722,0.0006654526332388,0.0012570952733315,0.0013066100815914,0.0014384917143022,0.0013527956369731,0.0022528862152253,0.0066933789365856,0.0115838633956449,0.0034653056908036,0.0052958076668936,0.0008826742728613,0.0008023153413921,0.0042391569876823,0.0007033527750419,0.0007739689761451,0.006269147553301,0.33972386297541,0.0024605627991191,0.0020606078367936,TRUE,"design"
"5",2018-02-20,1.13177107,1053,4,4.806,5000,24030,0.0009705045945267,0.0059549572608098,0.0061251215102251,0.075595901853024,0.0136334349692895,0.0057535535857223,0.0422789749936957,0.0035075836718265,0.0019197656940528,0.003844015549442,0.0037827110009171,0.001447798338021,0.0029020308408625,0.0022499464036703,0.002279783250535,0.0125080500858042,0.0022733795102506,0.149285993511037,0.0019294764382934,0.0053541126547901,0.0197229626216657,0.0025555058028261,0.255912175425482,0.0058850207755167,0.0093582787406906,0.0067878015948261,0.0028971853107095,0.0025813571397522,0.0039893247030845,0.0128437492711031,0.0208142991479564,0.0029251427781853,0.0029456530608191,0.0615451902693949,0.0292211222872671,0.0041091466764394,0.005168352611211,0.0025099401829128,0.0927141876758427,0.0192140628740584,0.0153932676958257,0.0025491283244153,0.0028492468371032,0.0041840278785309,0.0016584081194266,0.0026028455927027,0.0202003542523585,0.0199231440915263,0.0150771567641357,0.0082648657774348,TRUE,"design"
"6",2018-10-30,1.2876877,927,1,9.845,5793.70496,57039.0253312,0.0015120688646885,0.0023975278333164,0.0022590024202834,0.0093369349683943,0.0025647816848659,0.0043675604972774,0.0731426266274044,0.0032203987170182,0.0124486440255171,0.0046734036730787,0.002975968358817,0.0010585241796993,0.001434818405068,0.0039037968116437,0.0012244622605632,0.045462412879274,0.0029312553631391,0.423783391711989,0.0011814179833472,0.0131078930673871,0.0026741319796997,0.001247849406627,0.0026422492462554,0.0016411694698145,0.0030896414330205,0.0506721493961174,0.0015358994824173,0.002868144080569,0.0029726415564555,0.0022202466786447,0.004567268295581,0.001781755854879,0.0055908674704907,0.0197349192472998,0.002594147044527,0.0028037114967486,0.0018889174197599,0.0042647715585682,0.0069963839583739,0.0263000754182306,0.0174745608234935,0.0016375477580264,0.0040069777244293,0.0048745082791816,0.0015546224049703,0.0022933922283156,0.093898538626366,0.106145873257329,0.0025399918310809,0.0045001562399547,FALSE,"design"
"7",2018-10-17,1.65675803,244,1,2.46521428571429,81033.806,199765.696177,0.0013902124115614,0.0036016988627856,0.025310287573261,0.001262110827303,0.0009839336213881,0.0010826933549334,0.001562908847894,0.0011841944360321,0.001880984852739,0.0007245986557103,0.000801232189541,0.0003524812792984,0.02295386446683,0.000684342856647,0.0004626072326908,0.001477409078139,0.001091972620131,0.000833029236694,0.0005281145805617,0.0175110906750904,0.0023836908571273,0.0006241320942945,0.0009279194525031,0.0007037194789176,0.002549105193627,0.0018772039290534,0.001031877602922,0.0008037085913762,0.0011192123871613,0.0006545233418126,0.001426428405797,0.00053972471891,0.0012510743753899,0.815111530307791,0.000817872616005,0.0224825353955529,0.0008574469493637,0.0014398011174181,0.0332415979692308,0.0016254221860869,0.0082797836263056,0.00055651367485,0.002554364889764,0.002149549817805,0.0010872606927109,0.0006683763733283,0.0025136760914832,0.0024836625707092,0.0011836892018848,0.0013748284315852,FALSE,"design"
"8",2017-02-06,1.40622838,89,8,2.8048,1348.3121875,3781.7460235,0.0013463260413601,0.0441888430050083,0.0052487990061831,0.0509505738541831,0.0024262842086223,0.0021637788812337,0.0723378487967237,0.0076453143801361,0.0079710016335682,0.0015146412434199,0.0006633238213585,0.21904012597736,0.0065354721355556,0.0035832227661403,0.001135358805975,0.0009561706529265,0.0012880898937686,0.000817254589598,0.293247123485108,0.0044346778883142,0.0507515804111871,0.0015526963027232,0.0128325333555913,0.0023670393212664,0.0014742828673946,0.0008247685233479,0.0025478060601693,0.003934131599116,0.0014537677069897,0.0012344656567452,0.0033371350678445,0.0018002923964079,0.10241180796015,0.0013936280945307,0.0012390557108279,0.0020602073039724,0.0009407942803429,0.0041734707005645,0.0232655310121942,0.0015152028905551,0.0042710767987486,0.0038849840413612,0.0062681515631397,0.0158791454709814,0.0047923889988975,0.0013357207240485,0.0050257282757151,0.0053964620366067,0.0010110510194684,0.0035308627825664,FALSE,"design"
"9",2018-10-23,1.26190269,1463,5,4.40388,25000,110097,0.0007960891059344,0.0021604864081972,0.0012276438114603,0.0305623035493218,0.0017016859375176,0.0019286282590619,0.0356676471896097,0.0056036617615106,0.0041498010934007,0.001978514972317,0.0026809701858413,0.0010857535286392,0.0011083137523354,0.0083854098021252,0.0015155362735165,0.0017398375170441,0.0354940410287882,0.0030331099113852,0.0010726503307519,0.0024507837153257,0.0024178078970792,0.0028545644195675,0.001929278441209,0.0050977024281492,0.140657890111044,0.0018786403765103,0.0047210561851615,0.001323729990247,0.0023255405994436,0.0020036328293186,0.0043440620274209,0.0013186001442182,0.001400022665805,0.0041358716850183,0.0079014834289473,0.0027214697926164,0.003605749513285,0.004478356343958,0.137955206637386,0.242794514430219,0.0294114346938834,0.0018470258743412,0.0067073532138906,0.0045004647158925,0.00138570451679,0.0018676944137178,0.0795900508900324,0.147286548211444,0.0033772965980664,0.0038183787912523,TRUE,"design"
