,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
414,atla-four-nations-enamel-pin-set,ca,Design,2019-04-04 18:59:55,2.0,united states,False,0,25.28390972804667,5
442,vilhelm-talos-bronze-500m-diver,sg,Product Design,2018-02-21 11:59:29,2.0,singapore,False,1,752.7316352573685,1
446,robert-mueller-soft-enamel-pin,us,Graphic Design,2018-11-15 20:17:26,3.0,united states,False,1,17.823529411764707,5
449,unveil-the-invisible-on-a-mechanical-swiss-made-wa,ch,Product Design,2018-09-28 16:01:11,1.0,switzerland,False,1,590.2243526345833,1
472,make-100-mickey-gone-bad-enamel-pins,au,Product Design,2019-03-10 23:03:22,4.0,united states,False,1,24.625076118844444,5
477,help-us-publish-the-football-crest-index-vol2,gb,Graphic Design,2019-02-08 09:37:11,3.0,united kingdom,False,1,47.92941595515152,2
493,gmt-chrono-dual-time-and-automatic-watches,fr,Product Design,2018-11-05 08:57:26,3.0,france,False,1,201.612902975,1
497,metropolis-a-soft-enamel-pin-by-kitycrylics,us,Design,2019-06-27 22:59:34,8.0,united states,False,1,25.176470588235293,5
502,the-shirt-of-frankenstein,us,Graphic Design,2012-02-01 21:29:22,1.0,united states,False,1,50.69162790697674,2
508,instruments-of-war-bicycle-playing-cards-deck,us,Graphic Design,2013-05-31 00:44:31,5.0,united states,False,0,20.30701754385965,2
525,gods-of-mythology-bicycle-playing-cards,us,Graphic Design,2013-07-17 16:03:48,1.0,united states,False,0,19.362491909385113,2
535,will-burtin-neglected-giant-of-design,gb,Graphic Design,2018-04-05 13:51:56,8.0,united states,False,0,110.56487155778895,2
536,sishou-four-beasts-playing-cards-printed-by-uspc,gb,Graphic Design,2013-01-20 18:03:43,3.0,united states,False,0,34.568913156679685,2
539,manchester-watch-works-presents-the-champlain-expl,us,Product Design,2018-12-28 14:46:17,12.0,united states,False,1,296.4886363636364,1
551,hodina-x-minimalissimo-defining-the-archetypal-tim,us,Product Design,2018-07-16 16:46:16,1.0,united states,False,1,159.58666666666667,1
555,paper-dream-studio-stationery-and-accessories,gb,Graphic Design,2016-01-02 15:00:40,1.0,united kingdom,False,0,18.512187435,2
560,swiss-designed-automatic-chrome-minimalistic-watch,au,Product Design,2019-02-16 03:29:47,2.0,singapore,False,1,184.4094596896842,1
562,oh-shib-shiba-inu-doggo-hard-enamel-pin-limited-qu,us,Graphic Design,2019-01-10 20:11:59,9.0,united states,False,1,13.923076923076923,5
581,t-watches-pilot-edition,gb,Product Design,2018-12-10 15:43:59,3.0,united kingdom,False,1,158.76147902142858,1
582,cute-and-fun-greeting-cards-for-all-occasions,gb,Graphic Design,2015-11-05 17:37:05,2.0,united states,False,0,10.79495599,2
590,my-hero-inspired-enamel-pins,us,Product Design,2019-01-27 19:59:58,1.0,united states,False,1,17.02777777777778,5
597,the-tropical-diver-a-solid-bronze-watch-from-tc-9,gb,Product Design,2019-03-14 17:56:12,6.0,united states,False,1,327.81801898550003,1
617,90s-toys-pin-collection,es,Design,2018-08-23 07:28:08,4.0,united states,False,1,19.292825333333333,5
621,generic-greeting-cards,us,Design,2018-08-13 15:59:17,4.0,united states,False,1,22.583333333333332,2
622,native-art-playing-cards,us,Graphic Design,2013-05-22 00:55:30,1.0,united states,False,1,34.62423625254583,2
633,basketball-playing-cards,us,Graphic Design,2015-04-16 20:15:19,1.0,united states,False,0,25.384615384615383,2
636,bts-love-yourself-donut-enamel-pins,us,Product Design,2018-10-30 00:38:43,1.0,united states,False,1,18.08,5
638,survival-by-design-cards-for-the-wicked-smart-and,us,Graphic Design,2011-07-26 05:04:14,1.0,united states,False,1,52.04081632653061,2
650,new-enamel-pins-for-the-lgbtq-pride-collection,us,Product Design,2018-04-25 21:51:09,3.0,united states,False,1,29.144444444444446,5
665,retro-style-lettering-enamel-pins,gb,Product Design,2019-04-16 14:55:08,3.0,united kingdom,False,1,17.070072938414636,5
668,the-rusty-project,us,Graphic Design,2013-05-07 16:55:34,1.0,united states,False,1,26.636363636363637,2
683,hermann-zapf-and-the-world-he-designed,us,Graphic Design,2018-11-07 23:13:04,3.0,united states,False,1,97.05357142857143,2
712,sawdust-circus-playing-card-deck-uspcc-printed,us,Graphic Design,2014-09-04 17:00:20,3.0,united states,False,1,40.29224376731302,2
718,lucent-playing-cards-by-sean-whelan,us,Graphic Design,2012-12-20 23:59:52,4.0,united states,False,0,23.263940520446095,2
728,graphic-design-discourse-the-book,us,Graphic Design,2016-08-29 16:01:06,1.0,united states,False,1,81.19791666666667,2
735,pca-ba-graphic-design-new-designers-exhibition-201,gb,Graphic Design,2014-03-26 14:23:38,1.0,united kingdom,False,0,24.06874574117647,2
736,lil-draggo-enamel-pin,us,Graphic Design,2018-12-15 15:47:11,3.0,united states,False,1,13.206896551724139,5
737,artists-2-africa-karen-y-buster,us,Graphic Design,2012-08-13 21:38:18,1.0,united states,False,1,51.21590909090909,2
753,watches-to-last-a-generation-british-design-swiss,gb,Product Design,2018-10-30 21:36:29,1.0,ireland,False,1,168.3857636532143,1
761,astronaut-riding-moon-hot-air-balloon-t-shirt-camp,us,Graphic Design,2017-02-27 19:06:36,1.0,united states,False,1,35.095238095238095,2
773,cat-world-hard-enamel-pin-a-brooch-for-true-catlov,nl,Graphic Design,2017-03-29 18:29:53,4.0,united states,False,0,13.345420782857143,5
777,skull-roses-and-wings-new-deck-of-playing-cards,us,Graphic Design,2013-07-19 06:55:07,2.0,united states,False,0,13.972222222222221,2
778,the-bolted-book-facsimile-an-exact-copy-of-depero,us,Graphic Design,2016-10-18 04:01:08,4.0,united states,False,1,193.89429657794676,2
780,foodie-rabbit-enamel-pin,gb,Graphic Design,2017-08-30 18:20:48,4.0,united states,False,1,21.71124591888889,5
785,happy-ending-greetingstm-crude-cards,us,Graphic Design,2013-12-11 00:02:38,1.0,united states,False,1,39.8348623853211,2
804,bts-love-yourself-speak-yourself-tour-enamel-pin,gb,Product Design,2019-03-02 11:00:17,2.0,united kingdom,False,1,25.839991082884616,5
818,parting-it-out-writing-on-graphic-design,jp,Graphic Design,2015-02-04 06:01:58,1.0,united states,False,1,67.12713936430318,2
835,icbq-magazine,gb,Graphic Design,2019-04-09 17:39:22,1.0,united kingdom,False,1,25.540197570462965,2
840,collaborative-studio-space,us,Graphic Design,2018-04-04 23:27:37,1.0,united states,False,1,105.7,2
846,octavo-redux,gb,Graphic Design,2017-04-26 13:27:30,8.0,united states,False,1,100.59963264842423,2
848,swiss-made-automatic-watches-at-market-leading-pri,no,Product Design,2018-05-24 14:50:29,1.0,norway,False,1,524.9998536493617,1
849,xeric-cypher-and-decypher-automatic-watch,us,Product Design,2019-02-12 17:48:37,11.0,united states,False,1,352.4885738539898,1
853,w-a-dwiggins-a-life-in-design,us,Graphic Design,2017-03-27 23:44:36,2.0,united states,False,1,162.0151085930123,2
897,premium-swiss-movement-watches-without-the-premium,gb,Product Design,2018-08-08 11:45:05,1.0,united kingdom,False,1,222.1708204990099,1
901,fau-bfa-exhibition-spring-2013,us,Graphic Design,2013-03-19 22:23:44,1.0,united states,False,1,20.69,2
912,hotrod-skrateboards,us,Graphic Design,2019-05-08 15:27:53,1.0,united states,False,0,64.88235294117646,2
914,hero-scream,us,Graphic Design,2018-08-20 11:53:47,7.0,united states,False,1,16.666666666666668,5
916,the-houston-sticker,us,Graphic Design,2014-08-05 19:49:28,3.0,united states,False,1,36.88636363636363,2
917,decantheure-the-wine-watch,dk,Product Design,2018-10-11 15:58:25,1.0,united states,False,1,320.7934550148469,1
921,the-dot-dash-project-remix,us,Graphic Design,2013-06-12 17:21:33,6.0,united states,False,1,51.23076923076923,2
926,bat-n-bunny-purmaid-enamel-pin-collection,jp,Product Design,2018-05-26 00:13:21,3.0,united states,False,1,27.078033113265306,5
944,vaughan-oliver-archive,gb,Graphic Design,2017-11-08 13:01:23,8.0,united states,False,1,127.30631423993671,2
960,atelier-playing-cards,us,Graphic Design,2014-04-08 13:02:04,1.0,united states,False,1,37.80862643678161,2
970,angel-and-demon-wing-enamel-pins-by-flea-circus-designs,us,Product Design,2019-07-13 18:59:24,11.0,united states,False,1,30.541666666666668,5
978,limited-edition-automatic-dive-watch-torsk-diver,us,Product Design,2019-02-11 12:57:42,2.0,united states,False,1,446.77455357142856,1
982,pica-magazine-10p0-exploration,ca,Graphic Design,2019-03-24 00:29:54,2.0,canada,False,1,18.675222489,2
987,alexander-james-watches-ndr001-a-watch-for-every-o,us,Product Design,2019-01-15 14:59:09,1.0,united states,False,1,329.33870967741933,1
996,us-army-playing-cards,us,Graphic Design,2014-08-30 17:00:01,30.0,united states,False,1,89.16462585034013,2
1019,ganymede-series-01-vintage-inspired-mechanical-wat,us,Product Design,2019-05-16 19:23:55,1.0,united states,False,1,341.75,1
1038,bowrington-the-handcrafted-bronze-automatic-watch,hk,Product Design,2019-05-11 13:04:13,1.0,united states,False,1,322.8347480550725,1
1057,the-alkin-model-one-automatic-watch,gb,Product Design,2018-03-28 15:00:01,1.0,united kingdom,False,1,279.27102959450235,1
1070,zorilita-anniversary-limited-edition-enamel-pins,us,Product Design,2018-04-17 13:46:01,3.0,united states,False,1,33.904761904761905,5
1086,weenie-dog-enamel-pin-series-round-two,us,Product Design,2019-03-16 19:00:46,11.0,united states,False,1,31.55862068965517,5
1118,gm-lang-watches-vintage-inspired-heirloom-quality-watch,us,Product Design,2019-07-08 16:01:12,1.0,united states,False,0,182.59459459459458,1
1121,babys-first-enamel-pin-project-bulma,us,Product Design,2018-11-30 20:55:53,1.0,united states,False,1,26.348837209302324,5
1122,austin-sydney-swiss-design-gorgeous-luxury-watch,us,Product Design,2019-06-11 05:59:46,1.0,united states,False,0,174.6,1
1124,ovd-watches-mars-mission-completed,hk,Product Design,2018-10-30 17:01:55,6.0,united states,False,1,372.7872011348804,1
1133,bakpak-modernconvenientcustomizable-genuine-leathe,gb,Product Design,2018-07-09 17:34:38,3.0,united states,False,1,32.851213687272725,1
1147,black-cat-halloween-pins,gb,Product Design,2018-09-12 20:04:24,6.0,united states,False,1,20.535754994999998,5
1153,festive-glitter-enamel-pins-part-2,gb,Product Design,2018-10-01 16:00:55,4.0,united kingdom,False,1,16.899596021875,5
1167,harry-styles-kiwi-puppy-pin,gb,Design,2019-02-14 12:00:05,3.0,united states,False,1,18.513467308695652,5
1170,cute-and-fun-greeting-cards-for-all-occasions-0,gb,Graphic Design,2015-12-17 17:37:57,2.0,united states,False,0,16.90589075692308,2
1174,down2earth-tees,us,Graphic Design,2014-07-24 23:09:41,1.0,united states,False,1,47.72727272727273,2
1178,aision-the-first-stereoscopic-skull-watch-on-kicks,hk,Product Design,2019-05-20 15:59:08,2.0,united states,False,1,425.17469456,1
1183,puggily-ever-after-princess-hard-enamel-pin-collec,us,Product Design,2019-03-04 16:58:09,1.0,united states,False,1,37.47674418604651,5
1214,ladislav-sutnar-visual-design-in-action-facsimile,us,Graphic Design,2015-04-28 04:02:02,4.0,united states,False,1,83.55968018275271,2
1219,wrong-a-zine-of-art-and-design,us,Graphic Design,2014-04-03 16:29:01,1.0,united states,False,1,37.27272727272727,2
1222,young-forever-together,gb,Product Design,2019-06-07 22:29:01,2.0,united kingdom,False,1,14.016317563058823,5
1228,csulb-graphic-design-bfa-show,us,Graphic Design,2013-02-26 01:35:14,1.0,united states,False,1,80.2122,2
1244,expecto-patronum-i-await-a-guardian-enamel-pin,us,Product Design,2018-05-14 05:01:12,7.0,united states,False,1,41.304,5
1254,big-blank-calendar-2015,us,Graphic Design,2014-10-05 22:41:26,2.0,united states,False,0,17.952380952380953,2
1267,japanese-sakura-folding-fan-pin-badge,gb,Graphic Design,2017-07-31 07:44:27,5.0,united states,False,1,19.84908848,5
1285,acts-of-making-2018-graphic-arts-festival,gb,Graphic Design,2018-04-30 08:59:44,1.0,united kingdom,False,1,44.72362223727368,2
1293,all-possible-futures,us,Graphic Design,2013-11-06 17:58:32,2.0,united states,False,1,87.5774647887324,2
1297,chinese-ornaments-double-happiness-and-sadness-ena,ca,Product Design,2018-10-16 18:48:27,3.0,united states,False,1,19.571433103388888,5
1316,afternoon-tea-pin-set,gb,Graphic Design,2018-07-09 18:25:22,6.0,united states,False,0,16.606771625,5
1317,witch-merit-badges,us,Product Design,2018-08-13 04:03:12,4.0,united states,False,1,36.54545454545455,5
1327,flower-friends-enamel-pins,us,Product Design,2019-07-08 17:32:47,4.0,united states,False,1,29.026315789473685,5
1328,zorilita-enamel-pins-wave-2,us,Product Design,2018-09-25 14:26:54,3.0,united states,False,1,50.0,5
1341,oake-paper-screenprinted-stationary,us,Graphic Design,2014-04-02 16:41:40,2.0,united states,False,1,19.48076923076923,2
1346,the-swedish-designed-dive-watch-huvudskar-automati,se,Product Design,2018-10-23 06:59:06,1.0,sweden,False,1,317.41006174575836,1
1353,luxury-smart-and-automatic-watches-william-l-1985,fr,Product Design,2018-03-01 08:26:50,3.0,france,False,1,391.56550818899757,1
1373,radar-disc-watch,hk,Product Design,2019-04-09 14:51:54,1.0,united states,False,0,177.98520307799998,1
1376,deux-janus-dual-faced-precision-watch,us,Product Design,2019-01-21 13:44:20,1.0,united states,False,1,454.3120224719101,1
1379,x-cuties-enamel-pins-series-2,us,Product Design,2018-11-14 05:00:09,4.0,united states,False,1,33.170731707317074,5
1388,bicycle-black-tie-playing-cards-part-ii,us,Graphic Design,2012-11-15 19:02:11,2.0,united states,False,1,27.00468085106383,2
1403,doodle-pals-hard-enamel-pins,gb,Product Design,2018-03-30 16:56:55,3.0,united kingdom,False,1,13.076352807142857,5
1409,ba-hons-graphic-design-exhibition-uca-epsom-2015,gb,Graphic Design,2015-05-13 14:59:39,1.0,united kingdom,False,1,32.840134121666665,2
1412,the-all-saints-collection-luxury-swiss-movement-watches,ca,Design,2019-06-26 14:55:02,2.0,united states,False,0,254.66925667755626,1
1414,klasern-swiss-movement-watches,us,Product Design,2018-05-08 04:03:22,1.0,united states,False,1,222.33333333333334,1
1424,the-cigar-box-watch-set-a-pack-of-4-swiss-movement,us,Product Design,2018-11-08 14:00:23,4.0,united states,False,1,198.91505727278667,1
1440,1983-xl-pilot-limited-edition-watch,us,Product Design,2018-07-18 13:47:04,4.0,united states,False,1,199.81728073382666,1
1441,oxen-plough-bicycle-by-jack-w-stauffacher,us,Design,2019-03-18 17:34:27,1.0,united states,False,1,183.69230769230768,2
1450,usd149-modern-vintage-industrial-design-automatic,hk,Product Design,2019-01-16 04:01:47,2.0,united states,False,1,171.03499168688887,1
1459,a-luxury-watch-club-changing-how-you-buy-watches,us,Product Design,2018-10-23 15:00:01,1.0,united states,False,1,307.38461538461536,1
1463,wwi-100-yr-anniversary-playing-cards,us,Graphic Design,2013-11-26 22:00:55,7.0,united states,False,0,21.423076923076923,2
1464,heitis-watch-buffalo-okeanos-explorer-automatic-di,us,Product Design,2018-03-01 13:48:40,2.0,united states,False,1,426.92105263157896,1
1489,maker-of-enamel-pin-for-parents-of-boys-girls-and,gb,Typography,2018-07-08 18:16:48,1.0,united kingdom,False,1,13.287005999999998,5
1492,holiday-critter-enamel-pins,us,Graphic Design,2017-09-08 11:59:34,14.0,united states,False,1,34.247191011235955,5
1501,us99-modern-minimalist-design-regulator-watches,hk,Product Design,2018-12-12 04:00:20,1.0,united states,False,1,114.63776990809816,1
1515,the-general-bonaparte-watch-by-bravoure,fr,Product Design,2019-07-14 16:59:29,4.0,united states,False,1,292.19083446,1
1516,spooked-0,us,Product Design,2019-05-10 19:38:45,1.0,united states,False,1,21.64864864864865,5
1532,a-danish-designed-swiss-automatic-timepiece,dk,Product Design,2019-06-05 07:38:07,1.0,united states,False,0,501.27450827874054,1
1535,famous-cats-of-science-enamel-pins,us,Graphic Design,2019-05-08 08:45:13,1.0,united states,False,1,37.2,5
1543,kawaii-coffee-enamel-pins,us,Product Design,2018-03-20 15:04:20,2.0,united states,False,1,21.02173913043478,5
1556,wealth-playing-cards-bicycle,us,Graphic Design,2013-05-22 04:17:56,3.0,united states,False,0,15.25531914893617,2
1558,artist-cat-enamel-pin-set,gb,Graphic Design,2016-10-17 19:06:10,10.0,united states,False,1,28.707261083448277,5
1563,us-99-automatic-dual-time-open-heart-design-watches,hk,Product Design,2019-06-30 02:59:29,2.0,united states,False,1,105.07522524387096,1
1567,japan-automatic-vintage-music-inspired-watches-by,hk,Product Design,2019-05-03 03:59:41,1.0,united states,False,1,206.61232130935252,1
1588,us-99-minimal-design-classic-game-inspired-watches,hk,Product Design,2019-04-03 04:28:20,1.0,united states,False,0,111.74583700526316,1
1589,hercules-muses-soft-enamel-pins,gb,Product Design,2018-06-15 18:30:21,2.0,united kingdom,False,1,10.906861749583333,5
1609,delicious-playing-card-deck-uspcc-printed,us,Graphic Design,2015-03-11 17:00:02,3.0,united states,False,1,48.26845045045045,2
1610,my-little-chibi-enamel-pins,us,Product Design,2019-06-07 15:05:04,2.0,united states,False,1,25.06382978723404,5
1616,sophia-rae-playing-cards,us,Graphic Design,2014-04-24 06:55:15,1.0,united states,False,0,26.58,2
1638,seasonal-critter-enamel-pins,us,Graphic Design,2018-04-06 02:30:04,14.0,united states,False,1,36.098591549295776,5
1643,seasonal-bat-enamel-pins,us,Product Design,2018-08-23 22:14:53,5.0,united states,False,1,30.03125,5
1651,by-jove-enamel-lapel-pin,gb,Graphic Design,2017-01-09 17:26:08,1.0,united states,False,1,18.204154589999998,5
1658,opus-vintage-inspired-watch-with-automatic-swiss-movement,my,Product Design,2019-06-28 14:00:18,1.0,malaysia,False,0,517.985880905,1
1683,summertime-disney-pins,us,Product Design,2019-06-29 10:17:04,6.0,united states,False,1,17.55,5
1685,nub-watches-swiss-precision-and-british-engineerin,gb,Product Design,2018-06-28 14:30:23,1.0,united kingdom,False,1,131.52144592333332,1
1706,tiny-house-infographic,us,Graphic Design,2013-02-11 03:22:04,1.0,united states,False,1,18.013698630136986,2
1719,a-beautiful-nightmare-anastasia-1997-enamel-pin,au,Product Design,2019-05-09 20:29:21,1.0,united states,False,1,22.557173696933333,5
1727,project-99-occupy-wall-street-graphic-design-poste,us,Graphic Design,2011-11-24 18:10:12,1.0,united states,False,0,50.7,2
1730,houdini-magic-seance-card-deck-uspcc-printed,us,Graphic Design,2013-10-31 07:01:23,5.0,united states,False,0,29.109375,2
1734,vinci-the-kitty-stickers,us,Graphic Design,2015-03-25 21:41:47,2.0,united states,False,1,18.736842105263158,2
1738,the-chestor-by-vescari-watch-co,nl,Product Design,2019-03-27 15:59:59,3.0,netherlands,False,1,272.68327765333333,1
1744,william-walker-watch,gb,Product Design,2019-03-06 18:59:50,1.0,united states,False,1,383.6681907824096,1
1787,valhalla-of-norway-deep-fjord-v2,no,Product Design,2019-01-31 17:00:07,4.0,norway,False,1,469.72915714705266,1
1789,taco-enamel-pin,gb,Graphic Design,2018-05-04 17:42:50,6.0,united states,False,1,17.460089330526316,5
1800,zeitstuck-beauty-in-simplicity,at,Design,2018-11-20 10:11:11,1.0,austria,False,1,329.693877955,1
1805,solomon-magazine,gb,Graphic Design,2018-01-09 14:25:01,1.0,united kingdom,False,1,74.96408710285715,2
1808,interference-playing-cards-printed-by-uspcc,us,Graphic Design,2014-09-13 11:53:19,20.0,united states,False,0,21.91176470588235,2
1813,malmo-timepieces-luxury-modern-watches,gb,Product Design,2018-03-23 17:52:19,1.0,united kingdom,False,1,98.02348628571428,1
1838,topo-modern-nordic-design-meets-the-classic-dress,dk,Product Design,2019-02-20 14:40:35,2.0,united states,False,1,240.01885636259217,1
1860,lgbtq-rainbow-pride-fox-plush,us,Product Design,2018-11-05 14:00:29,6.0,united states,False,1,50.0,5
1865,night-and-day-penguin-pins,us,Graphic Design,2017-11-06 12:40:35,14.0,united states,False,1,33.55172413793103,5
1868,fusion-pin-pack-enamel-pins,us,Design,2019-05-08 22:00:23,2.0,united states,False,0,20.7,5
1870,abyysmaster-500-vltimatvm-watches,es,Product Design,2019-04-16 17:04:47,1.0,spain,False,0,411.3817343076923,1
1881,ianos-avyssos-an-ancient-greek-soul-in-a-modern-sw,gr,Product Design,2019-03-23 15:40:38,1.0,united states,False,1,811.4320576399999,1
1894,crafter-blue-hyperion-ocean-600m-professional-dive-watch,hk,Product Design,2019-06-19 11:38:13,1.0,united states,False,1,607.5350212789157,1
1899,clubbed-a-visual-history-of-uk-club-culture,gb,Graphic Design,2018-01-23 09:17:12,1.0,united kingdom,False,1,55.97338272615823,2
1904,iheartlogos-season-two-book,us,Graphic Design,2011-09-13 13:20:06,1.0,united states,False,0,43.4,2
1912,breab-bread-birbs-hard-enamel-pin-series-by-emuiu,us,Graphic Design,2018-11-02 22:54:50,9.0,united states,False,1,44.375,5
1922,feynman-one-top-grade-swiss-movement-timepieces,sg,Product Design,2018-11-28 10:51:29,1.0,singapore,False,1,711.869079375,1
1930,pride-gacha-enamel-pin-collection,us,Product Design,2019-04-08 22:52:50,3.0,united states,False,0,11.7,5
1935,reptile-club-enamel-pins,us,Product Design,2018-02-24 05:14:37,3.0,united states,False,1,22.59090909090909,5
1945,instrmnt-d-series-a-swiss-automatic-dive-watch,gb,Product Design,2019-07-09 13:42:55,2.0,united kingdom,False,1,360.4351558275983,1
1947,crossfire-bronze-watches,ca,Product Design,2018-11-28 08:01:28,13.0,united states,False,1,391.0376657650173,1
1963,harry-styles-iconic-40mm-hard-enamel-pins,gb,Product Design,2018-10-29 22:00:15,3.0,united states,False,1,19.9168420736,5
1985,legend-of-ink-pins-take-2,us,Graphic Design,2019-03-10 14:59:22,14.0,united states,False,1,23.48,5
