,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
1769,nihilism-playing-cards,jp,Playing Cards,2019-06-03 13:59:22,1.0,united states,False,1,41.89503917880952,5
1783,limited-edition-pop-girls-vol-ii,us,Playing Cards,2019-02-07 16:01:38,5.0,united states,False,1,48.45,5
1786,beat-the-boss,us,Tabletop Games,2019-02-01 04:00:08,1.0,united states,False,1,20.324324324324323,6
1793,fifty-two-playing-cards,gb,Playing Cards,2019-04-14 22:59:57,1.0,united states,False,1,26.56156395251163,5
1802,skate-and-date,us,Video Games,2018-03-24 16:21:35,1.0,united states,False,1,21.577464788732396,1
1807,butterfly-playing-cards-black,cz,Playing Cards,2019-07-02 21:58:55,1.0,united states,False,1,155.3573906219618,5
1820,glenfallow-regional-fantasy-map-quickstarter-campaign,us,Tabletop Games,2019-06-20 23:01:23,3.0,united states,False,1,20.419354838709676,6
1822,limited-edition-atomic-age-bad-girls-poker-playing,us,Playing Cards,2019-04-01 22:32:32,5.0,united states,False,1,43.125,5
1838,dead-wishes-a-visual-novel,us,Video Games,2018-06-18 21:01:53,1.0,united states,False,1,15.71039603960396,1
1848,catch-canvas,us,Video Games,2016-02-23 19:28:01,4.0,united states,False,1,28.5614406779661,1
1871,encore-a-story-based-rpg-with-40-different-endings,gb,Video Games,2016-05-12 13:17:26,1.0,united states,False,1,9.135183627941176,1
1872,exogenesis-post-apocalyptic-tokyo-adventure-visual,ph,Video Games,2014-04-23 01:07:31,1.0,united states,False,1,37.72707774798928,1
1874,chasing-the-stars-a-bl-yaoi-visual-novel,es,Video Games,2017-07-18 14:52:16,3.0,united states,False,1,19.376634470431654,1
1883,lux-runa-metal-playing-cards,sg,Playing Cards,2019-02-10 22:44:53,1.0,united states,False,1,49.619191976032255,5
1890,pokerzaps-blind-poker-playing-card-deck,us,Playing Cards,2019-05-22 17:25:40,1.0,united states,False,0,21.8125,5
1903,dragon-date-adult-visual-novel,us,Video Games,2016-09-13 06:41:55,1.0,united states,False,1,26.928196147110334,1
1912,ouroboros-playing-cards-0,it,Playing Cards,2019-06-04 14:30:56,2.0,united states,False,1,24.911933121402985,5
1916,phronesis-playing-cards,us,Playing Cards,2019-03-27 03:11:15,1.0,united states,False,1,65.57926829268293,5
1925,seiyuu-danshi-english-bl-yaoi-dating-sim-visual-no,id,Video Games,2016-02-03 19:56:25,1.0,united states,False,1,46.88636363636363,1
1938,late-19th-century-playing-card-reproductions-vanit,us,Playing Cards,2019-04-05 14:14:17,17.0,united states,False,1,54.667647058823526,5
1947,professor-humbert-drumsley-5e-rpg-adventure-codex,ca,Tabletop Games,2019-01-29 00:02:43,1.0,united states,False,1,13.122820432598203,6
1960,bicycle-reverie-playing-cards-marked-deck,us,Playing Cards,2018-12-15 05:00:19,6.0,united states,False,1,37.10666666666667,5
1961,dd3-the-misty-halls-of-kalavorka,us,Tabletop Games,2019-07-13 01:18:34,3.0,united states,False,1,36.51813471502591,6
1962,wolves-and-crows-playing-cards,gb,Playing Cards,2018-11-06 17:43:44,5.0,united states,False,1,53.15683167238411,5
1974,military-pin-up-playing-cards,us,Playing Cards,2018-11-23 18:01:30,9.0,united states,False,1,30.829971181556196,5
1981,full-service-bl-yaoi-gay-game-dating-sim-visual-no,us,Video Games,2017-03-13 03:12:19,1.0,united states,False,1,48.995422177009154,1
2010,seduce-me-2-the-demon-war,us,Video Games,2015-10-31 04:42:32,1.0,united states,False,1,51.062175824175824,1
